Year,State,Opioids,Cocaine,Heroin,state_name
2016,AK,856,112,206,Alaska
2016,AR,0,0,0,Arkansas
2016,AZ,0,0,0,Arizona
2016,CA,0,0,0,California
2016,CO,0,0,0,Colorado
2016,CT,6591,2424,3129,Connecticut
2016,DE,0,0,0,Delaware
2016,FL,0,0,0,Florida
2016,GA,8077,2200,2241,Georgia
2016,HI,653,0,63,Hawaii
2016,IA,1347,146,194,Iowa
2016,ID,0,0,0,Idaho
2016,IL,11654,5063,6685,Illinois
2016,IN,0,0,0,Indiana
2016,KS,0,0,0,Kansas
2016,KY,0,0,0,Kentucky
2016,MA,17382,5936,6381,Massachusetts
2016,MD,13737,2716,3663,Maryland
2016,ME,2923,555,568,Maine
2016,MI,0,0,0,Michigan
2016,MN,0,0,0,Minnesota
2016,MO,0,0,0,Missouri
2016,MS,0,0,0,Mississippi
2016,MT,0,0,0,Montana
2016,NC,12404,5034,5206,North Carolina
2016,NH,4515,551,543,New Hampshire
2016,NJ,0,0,0,New Jersey
2016,NM,2776,632,930,New Mexico
2016,NV,4005,496,651,Nevada
2016,NY,15165,5208,6106,New York
2016,OH,27915,10777,12464,Ohio
2016,OK,4485,321,375,Oklahoma
2016,OR,2508,299,560,Oregon
2016,RI,2854,1217,1001,Rhode Island
2016,SC,5866,1503,1433,South Carolina
2016,SD,135,0,0,South Dakota
2016,TN,11450,2642,2691,Tennessee
2016,TX,0,0,0,Texas
2016,UT,5419,614,931,Utah
2016,VA,8947,2681,3176,Virginia
2016,VT,816,206,276,Vermont
2016,WA,5396,1037,1708,Washington
2016,WI,5675,1499,2103,Wisconsin
2016,WV,6852,1474,1787,West Virginia
2016,WY,0,0,0,Wyoming
2017,AK,729,224,329,Alaska
2017,AR,0,0,0,Arkansas
2017,AZ,3963,866,1281,Arizona
2017,CA,0,0,0,California
2017,CO,0,0,0,Colorado
2017,CT,9380,3310,4038,Connecticut
2017,DE,0,0,0,Delaware
2017,FL,0,0,0,Florida
2017,GA,9723,2976,2966,Georgia
2017,HI,269,0,37,Hawaii
2017,IA,1806,200,360,Iowa
2017,ID,0,0,0,Idaho
2017,IL,17382,7820,9951,Illinois
2017,IN,0,0,0,Indiana
2017,KS,0,0,0,Kansas
2017,KY,0,0,0,Kentucky
2017,MA,20853,7426,7015,Massachusetts
2017,MD,21609,4982,5723,Maryland
2017,ME,3632,875,848,Maine
2017,MI,0,0,0,Michigan
2017,MN,0,0,0,Minnesota
2017,MO,833,141,312,Missouri
2017,MS,0,0,0,Mississippi
2017,MT,0,0,0,Montana
2017,NC,17182,7373,7087,North Carolina
2017,NH,4928,586,492,New Hampshire
2017,NJ,0,0,0,New Jersey
2017,NM,2904,660,1057,New Mexico
2017,NV,3688,661,853,Nevada
2017,NY,20901,7491,8090,New York
2017,OH,45007,17591,16894,Ohio
2017,OK,4431,460,540,Oklahoma
2017,OR,2478,402,726,Oregon
2017,RI,3210,1347,959,Rhode Island
2017,SC,7239,2348,2092,South Carolina
2017,SD,377,0,20,South Dakota
2017,TN,12694,3576,3553,Tennessee
2017,TX,0,0,0,Texas
2017,UT,4409,548,977,Utah
2017,VA,11731,3547,4322,Virginia
